,WELL,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,IF_568_Intensity,DAPI_Intensity_2,NucleusArea_2,EXPERIMENT
68,F11,260.4550510749964,3499.5535414026112,2139.37845813353,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4000,252.98819809295463,605.2207942114059,1679.2870858977444,2151.3165020124407,260515_mACPOLR2A_CRC_EU
69,F12,294.3842531005623,3575.8852476268653,2205.9598777225833,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3819,254.0098115739335,693.0336174413428,1652.7594485923669,2211.25197740113,260515_mACPOLR2A_CRC_EU
70,F13,338.98061123085756,3597.6327565682955,2224.4294896030246,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3680,251.29705031738106,788.9673644326169,1626.8823287950156,2226.851960425064,260515_mACPOLR2A_CRC_EU
71,F14,347.8375423558123,3438.420823849016,2285.6131900703963,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3335,252.95641965366192,809.1600238389492,1587.825814669199,2274.8874633431087,260515_mACPOLR2A_CRC_EU
72,F15,156.7378995262103,3332.1517469300325,1694.240843507214,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4027,315.8525982777597,806.7918221456995,1615.6763476196159,1671.1914364640884,260515_mACPOLR2A_CRC_EU
73,F16,156.40795688664622,3616.049091051408,1678.161659046375,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,4369,158.90071257946101,1596.6770277931712,1609.9826825885218,1668.032525510204,260515_mACPOLR2A_CRC_EU
74,F17,226.31263514481952,3829.174082231822,2157.6712009327634,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3750,157.86419321128304,748.1540395982888,1616.9231699794764,2162.3908845113942,260515_mACPOLR2A_CRC_EU
75,F18,260.45815789626903,3514.9461476565657,2143.0299523485364,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3779,157.81853604916353,955.8941803056322,1580.3496641480963,2146.2729419703105,260515_mACPOLR2A_CRC_EU
76,F19,300.0838879713679,3735.511677311457,2146.4600744724867,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3989,158.28743440243338,1177.3368568772955,1605.9958229916315,2209.7152921674265,260515_mACPOLR2A_CRC_EU
77,F20,360.2184517732491,4211.965616453038,2126.3916178458767,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,4061,159.11689808695678,1665.7500630232753,1660.4733780597048,2161.045777777778,260515_mACPOLR2A_CRC_EU
78,F21,357.20557313328163,4108.575977728852,2150.101148409894,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3492,158.8211877049531,1607.1688711627892,1638.2158130973855,2153.796024200519,260515_mACPOLR2A_CRC_EU
79,F22,156.15827218888037,3616.6734145760834,1667.5566229985443,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3265,157.95122234788548,1648.4349078653152,1547.3727215309486,1647.6571428571428,260515_mACPOLR2A_CRC_EU
80,G03,156.6805797542546,2730.7790050979993,1621.8460171750073,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3123,363.80745747644113,805.3977498408578,1624.4799192936016,1608.6982905982907,260515_mACPOLR2A_CRC_EU
81,G04,157.79170608128118,2806.20801804027,1717.5760225669958,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4268,345.4249643977147,834.3556220269411,1706.8625740733983,1690.391034677192,260515_mACPOLR2A_CRC_EU
