,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
109,H15,1918.9023251112394,229.00470899156127,248.65910157793357,661.5502151982125,1660.6836461126006,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,373,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1757.549974123095,1.0316106876158637,4 hrs
112,H18,1965.572779530395,233.15872354231746,240.67457403782527,622.3111703700079,1684.9413646055436,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,938,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1804.2204285422506,1.0590043550981847,24 hrs
115,H21,1877.0525326749485,234.1658155243886,244.16773506945654,605.6790037563455,1683.6112804878048,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,656,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1715.700181686804,1.007046553572777,24 hrs
219,N06,1862.6225444425454,218.1881017810364,448.21062247665367,575.8414164365298,1717.0770031217482,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,961,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1701.270193454401,0.9985767346191821,Vehicle
222,N09,1986.8464513185568,216.18185207782977,455.20025685964424,575.7491657375066,1703.558659217877,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,895,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1825.4941003304123,1.0714911392605808,Vehicle
225,N12,1951.2017425852368,226.99579085110645,261.91333770557185,578.3033478146095,1641.4769475357712,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,629,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1789.8493915970923,1.0505691381638016,4 hrs
228,N15,1985.5299045145093,230.13744954113926,265.0199502552882,581.8489833083789,1692.6622114216282,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,823,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1824.1775535263648,1.0707183795815967,4 hrs
231,N18,1885.1277059957183,237.76914616221748,252.06559242456956,583.2696865348793,1640.657262277952,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,957,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1723.7753550075738,1.0117863534218328,24 hrs
234,N21,1855.6068173890149,230.07744951973743,252.22531104966063,548.8660938377158,1773.3751295336788,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,965,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1694.2544664008703,0.9944587868416636,24 hrs
1,C15,1508.3984086718312,338.70147896249597,319.3220390376101,781.2701351154052,1592.0635538261997,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,771,251007_mACmChPOLR2A_PTEFB,5PhIAA_240,1304.017449686665,1.1855464716079895,4 hrs
4,C18,1423.8378428299893,310.66373437502403,577.7548271065066,784.2751719461745,1715.0351063829787,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,940,251007_mACmChPOLR2A_PTEFB,Vehicle_1440,1219.456883844823,1.108668297550534,Vehicle
7,C21,1385.927887268133,307.7396584089128,556.0347436336177,823.3876564160289,1700.6640378548896,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1268,251007_mACmChPOLR2A_PTEFB,Vehicle_1440,1181.5469282829667,1.0742024903130818,Vehicle
112,I06,1226.6942833175992,318.4169363846798,296.54256001856794,704.6230236292772,1645.0743134087238,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1238,251007_mACmChPOLR2A_PTEFB,5PhIAA_1440,1022.313324332433,0.9294353805091908,24 hrs
115,I09,1161.9250214241765,322.16722805428975,304.33158318209655,727.5108572997806,1612.576023391813,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1368,251007_mACmChPOLR2A_PTEFB,5PhIAA_1440,957.5440624390103,0.870550455368924,24 hrs
118,I12,1226.7264679468265,303.3651816731913,303.6961858115179,698.8218261923784,1669.2738528769119,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1373,251007_mACmChPOLR2A_PTEFB,5PhIAA_240,1022.3455089616602,0.92946464114035,4 hrs
121,I15,1152.5616050329234,305.69076298196137,302.8113307156581,748.5338145285114,1657.23355704698,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1490,251007_mACmChPOLR2A_PTEFB,5PhIAA_240,948.1806460477571,0.8620377124853729,4 hrs
124,I18,1225.926641351944,297.50451342624916,573.7151056819051,799.1127621058616,1542.6280918727916,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1132,251007_mACmChPOLR2A_PTEFB,Vehicle_1440,1021.5456823667778,0.9287374794005366,Vehicle
