gene_id	hgnc_symbol	condition	coverage	dataset	target	treatment
ENSG00000037637	FBXO42	ARMC5.KO	24.03026238	TSS	Total Pol II	UNT
ENSG00000055070	SZRD1	WT	13.9249419	TSS	Total Pol II	UNT
ENSG00000055070	SZRD1	ARMC5.KO	24.01783571	TSS	Total Pol II	UNT
ENSG00000157191	NECAP2	WT	17.61026286	TSS	Total Pol II	UNT
ENSG00000157191	NECAP2	ARMC5.KO	25.50264143	TSS	Total Pol II	UNT
ENSG00000080947	CROCCP3	WT	5.8444725	TSS	Total Pol II	UNT
ENSG00000080947	CROCCP3	ARMC5.KO	8.168509444	TSS	Total Pol II	UNT
ENSG00000219481	NBPF1	WT	38.28047619	TSS	Total Pol II	UNT
ENSG00000219481	NBPF1	ARMC5.KO	58.9947	TSS	Total Pol II	UNT
ENSG00000186301	MST1P2	WT	6.750042381	TSS	Total Pol II	UNT
ENSG00000186301	MST1P2	ARMC5.KO	11.56783476	TSS	Total Pol II	UNT
ENSG00000058453	CROCC	WT	108.0484619	TSS	Total Pol II	UNT
ENSG00000058453	CROCC	ARMC5.KO	151.176929	TSS	Total Pol II	UNT
ENSG00000227684	CROCCP4	WT	108.0484619	TSS	Total Pol II	UNT
ENSG00000227684	CROCCP4	ARMC5.KO	151.176929	TSS	Total Pol II	UNT
ENSG00000117118	SDHB	WT	13.26617095	TSS	Total Pol II	UNT
ENSG00000117118	SDHB	ARMC5.KO	19.24036857	TSS	Total Pol II	UNT
ENSG00000179051	RCC2	WT	17.14720571	TSS	Total Pol II	UNT
ENSG00000179051	RCC2	ARMC5.KO	24.7012281	TSS	Total Pol II	UNT
ENSG00000159423	ALDH4A1	WT	15.21385476	TSS	Total Pol II	UNT
ENSG00000159423	ALDH4A1	ARMC5.KO	25.88161286	TSS	Total Pol II	UNT
ENSG00000169991	IFFO2	WT	6.057105263	TSS	Total Pol II	UNT
ENSG00000169991	IFFO2	ARMC5.KO	10.587175	TSS	Total Pol II	UNT
ENSG00000127481	UBR4	WT	20.88503476	TSS	Total Pol II	UNT
ENSG00000127481	UBR4	ARMC5.KO	33.37399762	TSS	Total Pol II	UNT
ENSG00000230424	EMC1-AS1	WT	22.380405	TSS	Total Pol II	UNT
ENSG00000230424	EMC1-AS1	ARMC5.KO	35.414515	TSS	Total Pol II	UNT
ENSG00000127463	EMC1	WT	22.45559	TSS	Total Pol II	UNT
ENSG00000127463	EMC1	ARMC5.KO	30.73984905	TSS	Total Pol II	UNT
ENSG00000053372	MRTO4	WT	22.53196714	TSS	Total Pol II	UNT
ENSG00000053372	MRTO4	ARMC5.KO	31.28655714	TSS	Total Pol II	UNT
ENSG00000053371	AKR7A2	WT	11.96294571	TSS	Total Pol II	UNT
ENSG00000053371	AKR7A2	ARMC5.KO	21.7222895	TSS	Total Pol II	UNT
ENSG00000040487	SLC66A1	WT	11.69561667	TSS	Total Pol II	UNT
ENSG00000040487	SLC66A1	ARMC5.KO	20.7699035	TSS	Total Pol II	UNT
ENSG00000077549	CAPZB	WT	8.7516705	TSS	Total Pol II	UNT
ENSG00000077549	CAPZB	ARMC5.KO	13.17688381	TSS	Total Pol II	UNT
ENSG00000235185	MICOS10-DT	WT	14.8818435	TSS	Total Pol II	UNT
ENSG00000235185	MICOS10-DT	ARMC5.KO	20.61957048	TSS	Total Pol II	UNT
ENSG00000158747	NBL1	WT	15.7640275	TSS	Total Pol II	UNT
ENSG00000158747	NBL1	ARMC5.KO	22.328959	TSS	Total Pol II	UNT
ENSG00000270136	MICOS10-NBL1	WT	15.74851286	TSS	Total Pol II	UNT
ENSG00000270136	MICOS10-NBL1	ARMC5.KO	23.0138955	TSS	Total Pol II	UNT
ENSG00000169914	OTUD3	WT	9.261018095	TSS	Total Pol II	UNT
ENSG00000169914	OTUD3	ARMC5.KO	13.50615338	TSS	Total Pol II	UNT
ENSG00000162545	CAMK2N1	WT	9.0674515	TSS	Total Pol II	UNT
ENSG00000162545	CAMK2N1	ARMC5.KO	12.67987571	TSS	Total Pol II	UNT
ENSG00000090432	MUL1	WT	12.460845	TSS	Total Pol II	UNT
ENSG00000090432	MUL1	ARMC5.KO	18.04755143	TSS	Total Pol II	UNT
ENSG00000158828	PINK1	WT	6.625930476	TSS	Total Pol II	UNT
ENSG00000158828	PINK1	ARMC5.KO	10.08301571	TSS	Total Pol II	UNT
ENSG00000244038	DDOST	WT	23.6134655	TSS	Total Pol II	UNT
ENSG00000244038	DDOST	ARMC5.KO	31.75872	TSS	Total Pol II	UNT
ENSG00000127483	HP1BP3	WT	17.07084143	TSS	Total Pol II	UNT
ENSG00000127483	HP1BP3	ARMC5.KO	25.29555556	TSS	Total Pol II	UNT
ENSG00000075151	EIF4G3	WT	13.45713	TSS	Total Pol II	UNT
ENSG00000075151	EIF4G3	ARMC5.KO	18.42651143	TSS	Total Pol II	UNT
ENSG00000117298	ECE1	WT	12.3496119	TSS	Total Pol II	UNT
ENSG00000117298	ECE1	ARMC5.KO	19.27143143	TSS	Total Pol II	UNT
ENSG00000142794	NBPF3	WT	11.76245286	TSS	Total Pol II	UNT
ENSG00000142794	NBPF3	ARMC5.KO	18.8986719	TSS	Total Pol II	UNT
ENSG00000090686	USP48	WT	24.92360238	TSS	Total Pol II	UNT
ENSG00000090686	USP48	ARMC5.KO	38.56148905	TSS	Total Pol II	UNT
ENSG00000070831	CDC42	WT	20.49359286	TSS	Total Pol II	UNT
ENSG00000070831	CDC42	ARMC5.KO	30.57211429	TSS	Total Pol II	UNT
ENSG00000228397	LINC01635	WT	19.30971571	TSS	Total Pol II	UNT
ENSG00000228397	LINC01635	ARMC5.KO	29.01897619	TSS	Total Pol II	UNT
ENSG00000285752	CDC42-AS1	WT	14.35458714	TSS	Total Pol II	UNT
ENSG00000285752	CDC42-AS1	ARMC5.KO	25.19823429	TSS	Total Pol II	UNT
ENSG00000004487	KDM1A	WT	22.8565881	TSS	Total Pol II	UNT
ENSG00000004487	KDM1A	ARMC5.KO	33.93311476	TSS	Total Pol II	UNT
ENSG00000125944	HNRNPR	WT	20.35992381	TSS	Total Pol II	UNT
ENSG00000125944	HNRNPR	ARMC5.KO	31.34246667	TSS	Total Pol II	UNT
ENSG00000249087	ZNF436-AS1	WT	19.79662857	TSS	Total Pol II	UNT
ENSG00000249087	ZNF436-AS1	ARMC5.KO	30.04404762	TSS	Total Pol II	UNT
ENSG00000125945	ZNF436	WT	12.21118095	TSS	Total Pol II	UNT
ENSG00000125945	ZNF436	ARMC5.KO	20.06043333	TSS	Total Pol II	UNT
ENSG00000007968	E2F2	WT	11.23734238	TSS	Total Pol II	UNT
ENSG00000007968	E2F2	ARMC5.KO	17.7300855	TSS	Total Pol II	UNT
ENSG00000117318	ID3	WT	26.24592762	TSS	Total Pol II	UNT
ENSG00000117318	ID3	ARMC5.KO	50.16660952	TSS	Total Pol II	UNT
ENSG00000142676	RPL11	WT	27.08133524	TSS	Total Pol II	UNT
