,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
141,250210_ARMC5mAC_PhosphoPolII,J08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1469,355.04278356526567,0.9708374485038911
142,250210_ARMC5mAC_PhosphoPolII,J09,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1908,344.44446938338217,0.9418571656335847
143,250210_ARMC5mAC_PhosphoPolII,J10,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1944,302.44666829294914,0.8270173774706608
144,250210_ARMC5mAC_PhosphoPolII,J11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1460,373.22466572807707,1.0205544203873582
145,250210_ARMC5mAC_PhosphoPolII,J12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1615,347.39253422183185,0.9499184243839921
156,250210_ARMC5mAC_PhosphoPolII,K03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1446,385.57739852228457,1.0543320273212398
157,250210_ARMC5mAC_PhosphoPolII,K04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1451,356.3221770962516,0.9743358526646011
158,250210_ARMC5mAC_PhosphoPolII,K05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2063,308.60498193345256,0.8438568170497335
159,250210_ARMC5mAC_PhosphoPolII,K06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1242,347.01447329809554,0.9488846455844528
160,250210_ARMC5mAC_PhosphoPolII,K07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2281,322.0014542543772,0.8804884502191166
