WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2
M20,HCT116 mChPOLR2A Clone 2,Vehicle,30,Exclude,30
M21,HCT116 mChPOLR2A Clone 2,Vehicle,30,Exclude,30
M22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N04,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N05,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N06,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N07,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N08,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N09,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N10,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N11,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N12,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N13,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N14,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N15,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N16,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N17,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N18,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N19,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N20,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N21,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
N22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
