,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,EU_647_Intensity_BGS,EU_647_Intensity_FC
106,260508_mACPOLR2A_CRC_EU,H09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4082,336.95909350377445,154.68915988399718,0.6722088804031995
107,260508_mACPOLR2A_CRC_EU,H10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3991,415.43927055254784,233.16933693277056,1.013248110219706
108,260508_mACPOLR2A_CRC_EU,H11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4112,394.40078125846145,212.13084763868417,0.9218243844437181
109,260508_mACPOLR2A_CRC_EU,H12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3496,366.28001232323885,184.01007870346157,0.7996242857671294
110,260508_mACPOLR2A_CRC_EU,H13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3205,356.94428922033546,174.6743556005582,0.7590554703474641
111,260508_mACPOLR2A_CRC_EU,H14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3652,339.8004311907803,157.530497571003,0.6845560443988015
112,260508_mACPOLR2A_CRC_EU,H15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4185,620.6599090973805,438.38997547760323,1.9050438622640153
120,260508_mACPOLR2A_CRC_EU,I03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3304,625.0098517458513,442.73991812607403,1.9239467387146953
121,260508_mACPOLR2A_CRC_EU,I04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3527,559.3237377000276,377.0538040802503,1.638504699893797
122,260508_mACPOLR2A_CRC_EU,I05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3807,415.9187613952101,233.6488277754328,1.015331759796388
123,260508_mACPOLR2A_CRC_EU,I06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3874,426.802113526344,244.5321799065667,1.062625868553521
124,260508_mACPOLR2A_CRC_EU,I07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3596,398.45093114650837,216.1809975267311,0.939424497623923
125,260508_mACPOLR2A_CRC_EU,I08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3655,385.9667482157852,203.6968145960079,0.8851739047775762
126,260508_mACPOLR2A_CRC_EU,I09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3703,359.38510627866106,177.11517265888378,0.7696621534743004
127,260508_mACPOLR2A_CRC_EU,I10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3952,410.732941323206,228.4630077034287,0.992796539441009
128,260508_mACPOLR2A_CRC_EU,I11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3974,410.21192679060346,227.94199317082618,0.9905324467541189
129,260508_mACPOLR2A_CRC_EU,I12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3644,388.61164221383575,206.34170859405847,0.896667413660474
130,260508_mACPOLR2A_CRC_EU,I13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3833,360.0740253096647,177.80409168988743,0.7726558829047706
131,260508_mACPOLR2A_CRC_EU,I14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3390,329.207928210921,146.93799459114373,0.6385258340459985
132,260508_mACPOLR2A_CRC_EU,I15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4632,590.0891949970725,407.8192613772952,1.7721974138515673
