,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
83,G06,162.54680943089804,175.5765933369424,208.44333284834036,1744.6658361881034,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
84,G07,177.0609292120667,175.85903997154438,214.81341662997912,1691.9626312538603,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
85,G08,163.6862983402047,175.12846977741762,214.16934512293682,1793.366718027735,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
86,G09,163.46387368103217,175.7403119549426,220.15872477130347,1781.2498416719443,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
87,G10,164.17303000150878,228.9470993084229,264.62378717559324,1609.98393194707,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
88,G11,155.57887880851877,214.97919436143772,261.94405941972195,1663.3114893617021,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
89,G12,155.24782743004283,213.73655565753015,268.0802079465358,1581.9885386819485,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
90,G13,174.4315669256064,179.6976278096055,276.83881429802864,1537.8753568030447,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
91,G14,163.34461183128772,178.947657362264,261.30749397163714,1717.579982126899,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
92,G15,168.37149314818666,178.59048776332412,282.1637224937954,1556.0491551459293,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
93,G16,163.65735816892098,226.00250958337557,273.2150597593425,1489.0292044310172,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
94,G17,154.79052813986058,211.28539613028872,261.79279687035074,1683.194867682438,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
95,G18,156.9199979346475,218.7361030050445,280.1911814167432,1577.188318227593,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
96,G19,176.23360971695834,180.188602862778,291.8140929657071,1505.1443994601889,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
97,G20,163.98556335487075,180.4777172818721,263.09866802648344,1631.7746947835738,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
98,G21,168.00504371931606,178.2983549830663,287.8992722235614,1498.7989864864865,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
99,G22,134.82108508213463,175.94709834295662,240.63353091179212,1684.811107720476,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
100,H03,135.79403046181932,175.59631745444497,217.7659648622324,1641.253209700428,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
101,H04,179.44411735723037,175.90982859358104,211.76984791635257,1618.5118724559022,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
102,H05,158.93904134240168,176.13969385685274,218.0574673332124,1775.2937085045842,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
103,H06,157.85060523852832,175.87648225832115,220.8136732932836,1853.8176445757704,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
104,H07,178.25624248944015,176.24012102879402,222.31808318365063,1665.9572916666666,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
105,H08,159.71879283794505,176.64051190256117,215.77263016108057,1798.071566110398,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
106,H09,157.8184460948449,176.56387345591395,221.38712643380555,1803.0914444059576,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
107,H10,162.93454051449956,229.52958250094264,265.07431636851857,1570.1796707229778,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
